lat,lon,landcover
61.92820148,12.55039776,ForestNaturalAreas
60.32173658,12.55266653,ForestNaturalAreas
59.65657303,12.5568764,ForestNaturalAreas
58.08681465,12.5607309,Water
62.22602185,12.56701248,ForestNaturalAreas
62.01169457,12.5723094,ForestNaturalAreas
60.49676295,12.57718086,ForestNaturalAreas
62.59370594,12.58133969,ForestNaturalAreas
58.77463089,12.58344769,ForestNaturalAreas
60.1311959,12.59032612,ForestNaturalAreas
60.44215759,12.59633721,ForestNaturalAreas
63.43524824,12.59651485,Water
58.46716574,12.59698217,ForestNaturalAreas
59.10129405,12.59726359,ForestNaturalAreas
59.46853166,12.60266581,ForestNaturalAreas
58.14049248,12.60800778,Water
62.938298,12.60841406,Water
63.20787393,12.60882511,Water
58.4860075,12.61405185,ForestNaturalAreas
57.91284691,12.61733695,Water
59.90108968,12.6246343,ForestNaturalAreas
57.83913181,12.63326502,Water
58.1687848,12.63726136,ForestNaturalAreas
59.24791947,12.64063939,ForestNaturalAreas
59.136007,12.6423065,ForestNaturalAreas
62.46469251,12.65221566,ForestNaturalAreas
61.84921594,12.6616364,ForestNaturalAreas
61.0913768,12.66674868,ForestNaturalAreas
62.30075285,12.67426805,ForestNaturalAreas
59.92489471,12.67504996,ForestNaturalAreas
63.48068221,12.67636249,Water
61.98835946,12.68183864,ForestNaturalAreas
63.06772905,12.69142306,Water
62.62282823,12.69197127,ForestNaturalAreas
61.00411888,12.69935867,Water
62.48548663,12.70282372,ForestNaturalAreas
60.43051298,12.70631349,Water
58.28736103,12.70964933,Wetlands
62.56060386,12.72263244,ForestNaturalAreas
63.22749816,12.72578498,ForestNaturalAreas
59.66356514,12.73726387,ForestNaturalAreas
58.68483837,12.74423073,ForestNaturalAreas
60.57512389,12.76682129,ForestNaturalAreas
59.34404583,12.77136122,Water
60.80591849,12.7794446,Water
62.87532372,12.79121816,Water
61.96567866,12.79281946,ForestNaturalAreas
58.14369007,12.7944258,ForestNaturalAreas
63.22665585,12.79828682,Water
63.41117646,12.80048358,Water
58.62944659,12.80332403,ForestNaturalAreas
57.90519633,12.8056174,Water
60.55987575,12.8246952,ForestNaturalAreas
57.83891143,12.82548977,Water
60.70270789,12.82592238,ForestNaturalAreas
60.95777622,12.82906634,ForestNaturalAreas
58.51049501,12.83156834,ForestNaturalAreas
58.34841172,12.83846137,ForestNaturalAreas
61.75095719,12.84103841,ForestNaturalAreas
58.73766249,12.84228084,ForestNaturalAreas
61.35221324,12.84384342,ForestNaturalAreas
58.53500009,12.84477404,ForestNaturalAreas
61.2043429,12.8492132,Water
61.39824928,12.85303821,ForestNaturalAreas
58.02539049,12.85356717,ForestNaturalAreas
63.08994832,12.85681472,Water
61.90961526,12.85875651,ForestNaturalAreas
61.91105002,12.8634247,ForestNaturalAreas
60.93716412,12.86372408,ForestNaturalAreas
60.58067364,12.86408285,ForestNaturalAreas
60.470439,12.8651362,ForestNaturalAreas
63.77247398,12.86791566,Water
59.95985635,12.87361396,ForestNaturalAreas
59.17201228,12.87393587,Water
58.94277736,12.87852822,ForestNaturalAreas
63.36331395,12.87888077,ForestNaturalAreas
58.71029157,12.89156246,ForestNaturalAreas
63.09678848,12.89670346,Water
61.75546591,12.89778179,ForestNaturalAreas
63.7579494,12.89887144,Water
62.83326812,12.90292244,AgriculturalArea
62.90032693,12.91095548,ForestNaturalAreas
63.83040681,12.9216878,Water
57.76099961,12.92209737,Water
58.34296163,12.93129597,ForestNaturalAreas
59.98427609,12.93213561,Water
63.56608071,12.93397316,ForestNaturalAreas
60.48202838,12.94217034,ForestNaturalAreas
57.96321201,12.96180137,ForestNaturalAreas
61.87241685,12.9871308,Water
60.43621818,13.00090901,ForestNaturalAreas
60.70164218,13.00451214,ForestNaturalAreas
61.45784458,13.01032312,ForestNaturalAreas
58.12172843,13.01618377,ForestNaturalAreas
63.5673212,13.02037619,Water
59.98724359,13.02171968,ForestNaturalAreas
58.849836,13.03122352,ForestNaturalAreas
58.8161039,13.04567484,ForestNaturalAreas
61.61636322,13.04785074,ForestNaturalAreas
60.18417718,13.05205917,ForestNaturalAreas
61.35432376,13.06034625,Water
59.20598704,13.06161795,ForestNaturalAreas
62.78372538,13.07492504,ForestNaturalAreas
58.41302297,13.08258964,ForestNaturalAreas
57.93599582,13.08668458,Water
58.1316595,13.10020273,ForestNaturalAreas
60.40646667,13.10553462,ForestNaturalAreas
61.31940509,13.10755405,ForestNaturalAreas
59.35671647,13.11175255,ForestNaturalAreas
57.60167865,13.11603176,Water
61.76256926,13.11839835,ForestNaturalAreas
61.27219254,13.11933513,ForestNaturalAreas
60.91406794,13.12039652,ForestNaturalAreas
60.77491543,13.12514371,Water
61.33284572,13.13275144,ForestNaturalAreas
61.06991019,13.13285392,ForestNaturalAreas
62.19593631,13.13623382,ForestNaturalAreas
60.52123316,13.13645178,ForestNaturalAreas
62.16911657,13.13937737,ForestNaturalAreas
60.87973159,13.14220941,ForestNaturalAreas
59.05683696,13.14667809,ForestNaturalAreas
58.46659918,13.15019539,ForestNaturalAreas
59.27492365,13.15057733,Water
59.32032719,13.15063857,ForestNaturalAreas
62.07642783,13.15764828,ForestNaturalAreas
60.55239208,13.15821179,ForestNaturalAreas
61.22247713,13.16806418,ForestNaturalAreas
62.38939681,13.17307975,ForestNaturalAreas
63.62076891,13.17352875,Water
61.01071798,13.17611124,ForestNaturalAreas
58.97910986,13.18787505,ForestNaturalAreas
61.77984684,13.20284988,ForestNaturalAreas
61.31443338,13.20857128,ForestNaturalAreas
57.83236104,13.21835384,Water
58.5835675,13.21997003,ForestNaturalAreas
58.62732327,13.22547756,ForestNaturalAreas
62.66419906,13.22763363,AgriculturalArea
62.88856297,13.22930752,Water
60.19116333,13.23330777,ForestNaturalAreas
62.56458201,13.23380094,Water
59.62831764,13.25439895,ForestNaturalAreas
59.04560185,13.25837113,ForestNaturalAreas
58.53643076,13.2613371,ForestNaturalAreas
60.39857429,13.26354072,ForestNaturalAreas
59.72877955,13.26497224,ForestNaturalAreas
58.12481468,13.27062881,ForestNaturalAreas
59.14929272,13.27578906,ForestNaturalAreas
62.27818799,13.2767209,ForestNaturalAreas
58.24962618,13.28468541,ForestNaturalAreas
62.96951051,13.28635709,ForestNaturalAreas
60.14975601,13.28675909,ForestNaturalAreas
58.30989202,13.28706495,ForestNaturalAreas
58.42999318,13.28980552,ForestNaturalAreas
60.11901694,13.29367358,ForestNaturalAreas
62.34598084,13.29395082,ForestNaturalAreas
60.49744989,13.30910443,Water
60.09162032,13.31481597,Water
62.63450793,13.31739379,ForestNaturalAreas
60.07629825,13.31752607,ForestNaturalAreas
58.03512677,13.31940467,ForestNaturalAreas
59.79721999,13.32024036,ForestNaturalAreas
61.14067225,13.336349,ForestNaturalAreas
60.79358138,13.34581274,ForestNaturalAreas
61.31127649,13.34972269,ForestNaturalAreas
58.96949883,13.35502403,ForestNaturalAreas
63.50449711,13.35662252,Water
58.2933974,13.36048272,ForestNaturalAreas
58.06880457,13.36911316,ForestNaturalAreas
63.59786329,13.37254602,Water
63.45322803,13.37300575,ForestNaturalAreas
60.54847857,13.37426946,ForestNaturalAreas
61.91162033,13.38119559,ForestNaturalAreas
60.8536965,13.38180312,ForestNaturalAreas
57.94767662,13.3822407,ForestNaturalAreas
63.43026865,13.38739512,Water
57.70353123,13.39092743,Water
60.47617186,13.39634764,ForestNaturalAreas
64.16501584,13.39698242,Water
63.09107645,13.39997227,ForestNaturalAreas
58.45767397,13.40492138,Water
57.94295028,13.42474785,ForestNaturalAreas
58.02031705,13.4299628,Water
62.09589084,13.43211214,ForestNaturalAreas
62.84916423,13.43342266,ForestNaturalAreas
58.44217201,13.43898497,ForestNaturalAreas
58.5331365,13.44138932,Water
60.87106446,13.44189869,ForestNaturalAreas
60.5940238,13.44557619,ForestNaturalAreas
59.19571356,13.44896248,ForestNaturalAreas
61.41184847,13.44937112,ForestNaturalAreas
58.43956816,13.45015426,ForestNaturalAreas
58.87758847,13.45178812,ForestNaturalAreas
63.9759136,13.45324801,Water
63.05682067,13.45465833,ForestNaturalAreas
58.57908116,13.45882592,ForestNaturalAreas
60.25455329,13.46044828,Water
62.95544232,13.46368312,ForestNaturalAreas
62.75228507,13.47230404,ForestNaturalAreas
58.3428887,13.47263359,ForestNaturalAreas
63.71396811,13.47618663,Water
60.91073085,13.47823076,ForestNaturalAreas
60.52245443,13.47892622,ForestNaturalAreas
59.25092296,13.48136765,ForestNaturalAreas
58.97982514,13.48306741,ForestNaturalAreas
57.84493755,13.48560445,ForestNaturalAreas
62.66001925,13.4917084,ForestNaturalAreas
58.28634148,13.49341881,AgriculturalArea
58.02243533,13.50186958,ForestNaturalAreas
60.72848293,13.51087141,ForestNaturalAreas
59.46941167,13.51725463,ForestNaturalAreas
62.06348152,13.52426992,ForestNaturalAreas
59.7785306,13.52484625,Wetlands
59.55927249,13.52585028,ForestNaturalAreas
59.83315899,13.52933303,ForestNaturalAreas
60.51249365,13.53023081,ForestNaturalAreas
63.70919865,13.53115273,Water
63.88437049,13.53653579,Water
58.32146704,13.55041964,ForestNaturalAreas
58.29773375,13.55482916,ForestNaturalAreas
62.27968689,13.55553159,ForestNaturalAreas
58.29669267,13.56161267,ForestNaturalAreas
63.87739168,13.56167677,Water
59.92097802,13.5695576,Water
61.39945361,13.57776368,ForestNaturalAreas
57.65416806,13.58707557,Water
63.3697187,13.59691904,Wetlands
62.78465562,13.60241403,ForestNaturalAreas
62.41887671,13.60355081,ForestNaturalAreas
59.17265185,13.60393299,ForestNaturalAreas
59.81890499,13.60922081,Water
63.46621273,13.60993191,Wetlands
61.81296037,13.61115795,ForestNaturalAreas
61.59874603,13.61921208,ForestNaturalAreas
59.06148742,13.62820267,AgriculturalArea
59.53358389,13.63066145,ForestNaturalAreas
59.60003262,13.63128329,ForestNaturalAreas
59.65880402,13.63326769,ForestNaturalAreas
63.05996205,13.64362938,Water
61.12561018,13.64383443,ForestNaturalAreas
61.12273769,13.64418363,ForestNaturalAreas
64.15143245,13.64862532,Water
59.55669765,13.65989082,ForestNaturalAreas
61.2616108,13.67521547,ForestNaturalAreas
62.3603905,13.67669398,ForestNaturalAreas
57.94422747,13.69631729,ForestNaturalAreas
61.71054033,13.69841868,ForestNaturalAreas
58.70524339,13.70187155,ForestNaturalAreas
60.48186676,13.70914788,ForestNaturalAreas
60.11917311,13.71127214,ForestNaturalAreas
59.37488543,13.71128016,ForestNaturalAreas
59.25664048,13.71154657,ForestNaturalAreas
59.74976659,13.72039184,ForestNaturalAreas
59.57231557,13.72065417,ForestNaturalAreas
60.78189303,13.72201654,Water
59.45149147,13.72617505,ForestNaturalAreas
57.58528262,13.72798204,Water
59.92663688,13.73017579,Water
